"country","avg_temp"
"Afghanistan",14.374585635359113
"Albania",15.454095940959414
"Algeria",16.433218390804612
"Angola",23.690253164556953
"Argentina",17.055534591194977
"Armenia",8.176239316239316
"Australia",15.89763388510224
"Austria",7.954169741697414
"Azerbaijan",11.099805825242717
"Bahamas",24.6676953125
"Bahrain",25.811695906432746
"Bangladesh",25.463784403669703
"Belarus",5.297343173431734
"Belgium",9.814354243542443
"Bolivia",8.7351572327044
"Bosnia And Herzegovina",8.998634686346863
"Botswana",18.992547770700632
"Brazil",21.829526790185344
"Bulgaria",8.378228782287822
"Burkina Faso",28.02063636363636
"Burundi",20.728201219512194
"Cameroon",24.618924050632916
"Canada",5.765759247242052
"Central African Republic",24.946012658227843
"Chile",9.141572327044022
"China",12.435465813350596
"Colombia",24.192427440633253
"Congo",23.850822784810113
"Congo (Democratic Republic Of The)",22.168695652173906
"Croatia",9.404944649446493
"Czech Republic",8.151918819188197
"C̫te D'Ivoire",25.82372727272728
"Denmark",7.831586715867163
"Dominican Republic",25.974671052631578
"Ecuador",19.801898876404486
"Egypt",20.726969696969714
"El Salvador",25.36203389830508
"Equatorial Guinea",25.480949367088613
"Eritrea",23.970133333333337
"Estonia",4.818708487084873
"Finland",4.1755719557195565
"France",10.34036900369004
"Gabon",25.973607594936706
"Georgia",8.176239316239316
"Germany",7.219963099630986
"Ghana",26.265696969696986
"Greece",17.421839080459772
"Guatemala",19.16103723404256
"Guinea",26.563060606060617
"Guinea Bissau",27.028121212121214
"Guyana",26.50205263157896
"Haiti",26.45042105263156
"Honduras",23.876931216931215
"Hong Kong",21.430862068965506
"Hungary",9.678302583025829
"India",25.265466778805713
"Indonesia",26.142773368606683
"Iran",13.467946428571443
"Iraq",20.7240897755611
"Ireland",8.638819188191876
"Italy",9.30937269372695
"Jamaica",26.613921052631586
"Japan",14.110252427184466
"Kazakhstan",3.6257575757575777
"Kenya",15.989999999999997
"Laos",24.085757575757576
"Latvia",5.169372693726936
"Lebanon",18.917780269058298
"Lesotho",14.038471337579624
"Liberia",25.647909090909092
"Libya",19.18404214559389
"Lithuania",5.397675276752768
"Macedonia",9.489778597785985
"Madagascar",19.044955947136557
"Malawi",19.92106707317074
"Malaysia",26.523439153439142
"Mali",26.949939393939392
"Mauritania",27.01478787878787
"Mauritius",23.441035242290752
"Mexico",19.804705882352952
"Moldova",8.692361623616234
"Mongolia",-3.3671134020618556
"Montenegro",10.135830258302576
"Morocco",17.234306640625004
"Mozambique",21.202101910828038
"Namibia",19.635541401273894
"Nepal",14.672889908256886
"Netherlands",9.068856088560892
"New Zealand",12.647080745341619
"Nicaragua",26.338518518518516
"Niger",29.00709090909091
"Nigeria",26.489182389937103
"Norway",2.2839114391143887
"Pakistan",23.625168975069222
"Papua New Guinea",24.85712121212121
"Peru",16.732443609022564
"Philippines",26.197009900990086
"Poland",7.275904059040588
"Portugal",15.52739463601532
"Qatar",26.749473684210532
"Romania",10.732435424354243
"Russia",2.5407155516171946
"Rwanda",19.000121951219512
"Saudi Arabia",25.291988304093568
"Senegal",24.61236363636363
"Serbia",9.737952029520294
"Sierra Leone",26.563060606060617
"Singapore",26.483492063492072
"Slovakia",9.788339483394829
"Slovenia",9.404944649446493
"Somalia",27.059847560975605
"South Africa",17.20952229299363
"South Korea",10.684800000000003
"Spain",14.594022140221405
"Sri Lanka",25.911766055045874
"Sudan",27.263542319749224
"Suriname",26.38163157894737
"Sweden",6.315756457564578
"Switzerland",6.766900369003688
"Syria",18.35087378640777
"Taiwan",22.10508670520233
"Tajikistan",7.312417582417582
"Tanzania",25.662378048780475
"Thailand",27.146691919191912
"Tunisia",18.380940959409603
"Turkey",14.082108949416337
"Uganda",23.142804878048782
"Ukraine",6.930479704797046
"United Arab Emirates",26.513216374269014
"United Kingdom",8.700184501845014
"United States",13.956212311033164
"Uruguay",16.221043956043964
"Uzbekistan",10.315054945054944
"Venezuela",25.732084210526324
"Vietnam",24.47325068870523
"Zambia",20.35573170731708
"Zimbabwe",20.123841463414628
